scientific_name_key
abies balsamea
abies concolor
abies fraseri
abies grandis
acacia koa
acalypha wilkesiana
acer macrophyllum
acer negundo
acer pensylvanicum
acer rubrum
acer saccharinum
acer saccharum
acer saccharum subsp. grandidentatum
acer saccharum subsp. nigrum
acoelorrhaphe wrightii
acorus calamus
actaea pachypoda
actaea racemosa
adiantum capillus-veneris
adiantum pedatum
aesculus californica
aesculus flava
aesculus glabra
aesculus parviflora
aesculus parviflora var. serotina
aesculus pavia
aesculus sylvatica
agalinis tenuifolia
agastache cana
agastache foeniculum
agastache nepetoides
agastache rupestris
agave americana
agave havardiana
agave parryi
agave shawii
ageratina altissima
alisma triviale
allium stellatum
alnus incana
alnus incana subsp. rugosa
alnus maritima
alnus serrulata
amelanchier arborea
amelanchier canadensis
amelanchier laevis
amelanchier nantucketensis
amelanchier obovalis
amelanchier stolonifera
amorpha canescens
amorpha fruticosa
amorpha ouachitensis
amsonia ciliata
amsonia ciliata var. filifolia
amsonia hubrichtii
amsonia illustris
amsonia tabernaemontana
amsonia tabernaemontana var. salicifolia
andropogon gerardii
andropogon glomeratus
anemone americana
anemone canadensis
anemone cylindrica
anemone narcissiflora
anemone parviflora
anemone virginiana
angelica atropurpurea
anisacanthus quadrifidus var. wrightii
antennaria dioica
antennaria neglecta
antennaria parlinii
antennaria plantaginifolia
apocynum cannabinum
aquilegia caerulea
aquilegia canadensis
aquilegia chrysantha var. hinckleyana
aralia racemosa
aralia spinosa
argemone polyanthemos
arisaema dracontium
arisaema triphyllum
aristolochia californica
aristolochia macrophylla
aristolochia tomentosa
armeria maritima
arnoglossum atriplicifolium
arnoglossum reniforme
aronia arbutifolia
aronia melanocarpa
aronia melanocarpa var. elata
artemisia dracunculus
artemisia frigida
artemisia ludoviciana
artemisia vulgaris
aruncus dioicus
arundinaria gigantea
asarum canadense
asarum caudatum
asarum shuttleworthii
asclepias hirtella
asclepias incarnata
asclepias purpurascens
asclepias quadrifolia
asclepias speciosa
asclepias sullivantii
asclepias syriaca
asclepias tuberosa
asclepias verticillata
asclepias viridis
asimina triloba
asplenium nidus
asplenium platyneuron
asplenium scolopendrium
asplenium trichomanes
asplenium ã— ebenoides
aster alpinus
astragalus bisulcatus
astragalus canadensis
astragalus crassicarpus
athyrium asplenioides
athyrium filix-femina
athyrium filix-femina var. angustum
athyrium thelypterioides
baccharis halimifolia
baccharis pilularis
baptisia alba var. macrophylla
baptisia australis
baptisia australis var. minor
baptisia bracteata
baptisia bracteata var. leucophaea
baptisia lanceolata
baptisia perfoliata
baptisia sphaerocarpa
baptisia tinctoria
berberis aquifolium
berberis dictyota
